vong,ma_tran,bang,doi_a,doi_b,ngay_gio
Vòng bảng,1,A,Mexico,South Africa,2026-06-12 02:00:00
Vòng bảng,2,A,South Korea,Czechia,2026-06-12 09:00:00
Vòng bảng,3,B,Canada,Bosnia and Herzegovina,2026-06-13 02:00:00
Vòng bảng,4,D,United States,Paraguay,2026-06-13 08:00:00
Vòng bảng,5,B,Qatar,Switzerland,2026-06-14 02:00:00
Vòng bảng,6,C,Brazil,Morocco,2026-06-14 05:00:00
Vòng bảng,7,C,Haiti,Scotland,2026-06-14 08:00:00
Vòng bảng,8,D,Australia,Turkey,2026-06-14 11:00:00
Vòng bảng,9,E,Germany,Curaçao,2026-06-15 00:00:00
Vòng bảng,10,F,Netherlands,Japan,2026-06-15 03:00:00
Vòng bảng,11,E,Ivory Coast,Ecuador,2026-06-15 06:00:00
Vòng bảng,12,F,Sweden,Tunisia,2026-06-15 09:00:00
Vòng bảng,13,H,Spain,Cape Verde,2026-06-15 23:00:00
Vòng bảng,14,G,Belgium,Egypt,2026-06-16 02:00:00
Vòng bảng,15,H,Saudi Arabia,Uruguay,2026-06-16 05:00:00
Vòng bảng,16,G,Iran,New Zealand,2026-06-16 08:00:00
Vòng bảng,17,I,France,Senegal,2026-06-17 02:00:00
Vòng bảng,18,I,Iraq,Norway,2026-06-17 05:00:00
Vòng bảng,19,J,Argentina,Algeria,2026-06-17 08:00:00
Vòng bảng,20,J,Austria,Jordan,2026-06-17 11:00:00
Vòng bảng,21,K,Portugal,DR Congo,2026-06-18 00:00:00
Vòng bảng,22,L,England,Croatia,2026-06-18 03:00:00
Vòng bảng,23,L,Ghana,Panama,2026-06-18 06:00:00
Vòng bảng,24,K,Uzbekistan,Colombia,2026-06-18 09:00:00
Vòng bảng,25,A,Czechia,South Africa,2026-06-18 23:00:00
Vòng bảng,26,B,Switzerland,Bosnia and Herzegovina,2026-06-19 02:00:00
Vòng bảng,27,B,Canada,Qatar,2026-06-19 05:00:00
Vòng bảng,28,A,Mexico,South Korea,2026-06-19 08:00:00
Vòng bảng,29,D,United States,Australia,2026-06-20 02:00:00
Vòng bảng,30,C,Scotland,Morocco,2026-06-20 05:00:00
Vòng bảng,31,C,Brazil,Haiti,2026-06-20 07:30:00
Vòng bảng,32,D,Turkey,Paraguay,2026-06-20 10:00:00
Vòng bảng,33,F,Netherlands,Sweden,2026-06-21 00:00:00
Vòng bảng,34,E,Germany,Ivory Coast,2026-06-21 03:00:00
Vòng bảng,35,E,Ecuador,Curaçao,2026-06-21 07:00:00
Vòng bảng,36,F,Tunisia,Japan,2026-06-21 11:00:00
Vòng bảng,37,H,Spain,Saudi Arabia,2026-06-21 23:00:00
Vòng bảng,38,G,Belgium,Iran,2026-06-22 02:00:00
Vòng bảng,39,H,Uruguay,Cape Verde,2026-06-22 05:00:00
Vòng bảng,40,G,New Zealand,Egypt,2026-06-22 08:00:00
Vòng bảng,41,J,Argentina,Austria,2026-06-23 00:00:00
Vòng bảng,42,I,France,Iraq,2026-06-23 04:00:00
Vòng bảng,43,I,Norway,Senegal,2026-06-23 07:00:00
Vòng bảng,44,J,Jordan,Algeria,2026-06-23 10:00:00
Vòng bảng,45,K,Portugal,Uzbekistan,2026-06-24 00:00:00
Vòng bảng,46,L,England,Ghana,2026-06-24 03:00:00
Vòng bảng,47,L,Panama,Croatia,2026-06-24 06:00:00
Vòng bảng,48,K,Colombia,DR Congo,2026-06-24 09:00:00
Vòng bảng,49,B,Bosnia and Herzegovina,Qatar,2026-06-25 02:00:00
Vòng bảng,50,B,Switzerland,Canada,2026-06-25 02:00:00
Vòng bảng,51,C,Morocco,Haiti,2026-06-25 05:00:00
Vòng bảng,52,C,Scotland,Brazil,2026-06-25 05:00:00
Vòng bảng,53,A,South Africa,South Korea,2026-06-25 08:00:00
Vòng bảng,54,A,Czechia,Mexico,2026-06-25 08:00:00
Vòng bảng,55,E,Curaçao,Ivory Coast,2026-06-26 03:00:00
Vòng bảng,56,E,Ecuador,Germany,2026-06-26 03:00:00
Vòng bảng,57,F,Tunisia,Netherlands,2026-06-26 06:00:00
Vòng bảng,58,F,Japan,Sweden,2026-06-26 06:00:00
Vòng bảng,59,D,Turkey,United States,2026-06-26 09:00:00
Vòng bảng,60,D,Paraguay,Australia,2026-06-26 09:00:00
Vòng bảng,61,I,Norway,France,2026-06-27 02:00:00
Vòng bảng,62,I,Senegal,Iraq,2026-06-27 02:00:00
Vòng bảng,63,H,Cape Verde,Saudi Arabia,2026-06-27 07:00:00
Vòng bảng,64,H,Uruguay,Spain,2026-06-27 07:00:00
Vòng bảng,65,G,New Zealand,Belgium,2026-06-27 10:00:00
Vòng bảng,66,G,Egypt,Iran,2026-06-27 10:00:00
Vòng bảng,67,L,Panama,England,2026-06-28 04:00:00
Vòng bảng,68,L,Croatia,Ghana,2026-06-28 04:00:00
Vòng bảng,69,K,Colombia,Portugal,2026-06-28 06:30:00
Vòng bảng,70,K,DR Congo,Uzbekistan,2026-06-28 06:30:00
Vòng bảng,71,J,Algeria,Austria,2026-06-28 09:00:00
Vòng bảng,72,J,Jordan,Argentina,2026-06-28 09:00:00
