vong,ma_tran,bang,doi_a,doi_b,ngay_gio
Vòng 1/16,73,nan,Á quân Bảng A,Á quân Bảng B,2026-06-29 02:00:00
Vòng 1/16,74,nan,Nhất Bảng E,Hạng 3 A/B/C/D/F,2026-06-30 03:30:00
Vòng 1/16,75,nan,Nhất Bảng F,Á quân Bảng C,2026-06-30 08:00:00
Vòng 1/16,76,nan,Nhất Bảng C,Á quân Bảng F,2026-06-30 00:00:00
Vòng 1/16,77,nan,Nhất Bảng I,Hạng 3 C/D/F/G/H,2026-07-01 04:00:00
Vòng 1/16,78,nan,Á quân Bảng E,Á quân Bảng I,2026-07-01 00:00:00
Vòng 1/16,79,nan,Nhất Bảng A,Hạng 3 C/E/F/H/I,2026-07-01 08:00:00
Vòng 1/16,80,nan,Nhất Bảng L,Hạng 3 E/H/I/J/K,2026-07-01 23:00:00
Vòng 1/16,81,nan,Á quân Bảng K,Á quân Bảng L,2026-07-03 06:00:00
Vòng 1/16,82,nan,Nhất Bảng D,Hạng 3 B/E/F/I/J,2026-07-02 07:00:00
Vòng 1/16,83,nan,Nhất Bảng G,Hạng 3 A/E/H/I/J,2026-07-02 03:00:00
Vòng 1/16,84,nan,Nhất Bảng H,Á quân Bảng J,2026-07-03 02:00:00
Vòng 1/16,85,nan,Nhất Bảng B,Hạng 3 E/F/G/I/J,2026-07-03 10:00:00
Vòng 1/16,86,nan,Nhất Bảng J,Á quân Bảng H,2026-07-04 05:00:00
Vòng 1/16,87,nan,Nhất Bảng K,Hạng 3 D/E/I/J/L,2026-07-04 08:30:00
Vòng 1/16,88,nan,Á quân Bảng D,Á quân Bảng G,2026-07-04 01:00:00
Vòng 1/8,89,nan,Thắng 74,Thắng 77,2026-07-05 04:00:00
Vòng 1/8,90,nan,Thắng 73,Thắng 75,2026-07-05 00:00:00
Vòng 1/8,91,nan,Thắng 76,Thắng 78,2026-07-06 03:00:00
Vòng 1/8,92,nan,Thắng 79,Thắng 80,2026-07-06 07:00:00
Vòng 1/8,93,nan,Thắng 83,Thắng 84,2026-07-07 02:00:00
Vòng 1/8,94,nan,Thắng 81,Thắng 82,2026-07-07 07:00:00
Vòng 1/8,95,nan,Thắng 86,Thắng 88,2026-07-07 23:00:00
Vòng 1/8,96,nan,Thắng 85,Thắng 87,2026-07-08 03:00:00
Tứ kết,97,nan,Thắng 89,Thắng 90,2026-07-10 03:00:00
Tứ kết,98,nan,Thắng 93,Thắng 94,2026-07-11 02:00:00
Tứ kết,99,nan,Thắng 91,Thắng 92,2026-07-12 04:00:00
Tứ kết,100,nan,Thắng 95,Thắng 96,2026-07-12 08:00:00
Bán kết,101,nan,Thắng 97,Thắng 98,2026-07-15 02:00:00
Bán kết,102,nan,Thắng 99,Thắng 100,2026-07-16 02:00:00
Tranh hạng ba,103,nan,Thua 101,Thua 102,2026-07-19 04:00:00
Chung kết,104,nan,Thắng 101,Thắng 102,2026-07-20 02:00:00
