team,so_tran_wc,so_tran_thang_wc,so_tran_hoa_wc,so_tran_thua_wc,so_ban_thang_wc,so_ban_thua_wc,so_ky_wc,hieu_so_wc,ty_le_thang_wc
Brazil,114,76,19,19,237,108,22,129,0.6666666666666666
Argentina,88,47,17,24,152,101,18,51,0.5340909090909091
Italy,83,45,21,17,128,77,18,51,0.5421686746987951
England,74,32,22,20,104,68,16,36,0.43243243243243246
France,73,39,14,20,136,85,16,51,0.5342465753424658
Spain,67,31,17,19,108,75,16,33,0.4626865671641791
Mexico,60,17,15,28,62,101,17,-39,0.2833333333333333
Uruguay,59,25,13,21,89,76,14,13,0.423728813559322
Germany,56,37,7,12,126,67,11,59,0.6607142857142857
West Germany,56,31,14,11,106,63,9,43,0.5535714285714286
Netherlands,55,30,14,11,96,52,11,44,0.5454545454545454
Belgium,51,21,10,20,69,74,14,-5,0.4117647058823529
Sweden,51,19,13,19,80,73,12,7,0.37254901960784315
Switzerland,41,14,8,19,55,73,12,-18,0.34146341463414637
Poland,38,17,6,15,49,50,9,-1,0.4473684210526316
South Korea,38,7,10,21,39,78,11,-39,0.18421052631578946
United States,37,9,8,20,40,66,11,-26,0.24324324324324326
Portugal,35,17,6,12,61,41,8,20,0.4857142857142857
Yugoslavia,33,14,7,12,55,42,8,13,0.42424242424242425
Chile,33,11,7,15,40,49,9,-9,0.3333333333333333
Hungary,32,15,3,14,87,57,9,30,0.46875
Soviet Union,31,15,6,10,53,34,7,19,0.4838709677419355
Croatia,30,13,8,9,43,33,6,10,0.43333333333333335
Czechoslovakia,30,11,5,14,44,45,8,-1,0.36666666666666664
Austria,29,12,4,13,43,47,7,-4,0.41379310344827586
Paraguay,27,7,10,10,30,38,8,-8,0.25925925925925924
Cameroon,26,5,8,13,22,47,8,-25,0.19230769230769232
Bulgaria,26,3,8,15,22,53,7,-31,0.11538461538461539
Japan,25,7,6,12,25,33,7,-8,0.28
Denmark,23,9,6,8,31,29,6,2,0.391304347826087
Morocco,23,5,7,11,20,27,6,-7,0.21739130434782608
Scotland,23,4,7,12,25,41,8,-16,0.17391304347826086
Colombia,22,9,3,10,32,30,6,2,0.4090909090909091
Romania,21,8,5,8,30,32,7,-2,0.38095238095238093
Costa Rica,21,6,5,10,22,39,6,-17,0.2857142857142857
Nigeria,21,6,3,12,23,30,6,-7,0.2857142857142857
Australia,20,4,4,12,17,37,6,-20,0.2
Saudi Arabia,19,4,2,13,14,44,6,-30,0.21052631578947367
Peru,18,5,3,10,21,33,5,-12,0.2777777777777778
Iran,18,3,4,11,13,31,6,-18,0.16666666666666666
Tunisia,18,3,5,10,14,26,6,-12,0.16666666666666666
Ghana,15,5,3,7,18,23,4,-5,0.3333333333333333
Russia,14,4,4,6,24,20,4,4,0.2857142857142857
Ecuador,13,5,2,6,14,14,4,0,0.38461538461538464
Algeria,13,3,3,7,13,19,4,-6,0.23076923076923078
Northern Ireland,13,3,5,5,13,23,3,-10,0.23076923076923078
Republic of Ireland,13,2,8,3,10,10,3,0,0.15384615384615385
Senegal,12,5,3,4,16,17,3,-1,0.4166666666666667
Tï¿½ï¿½r,10,5,1,4,20,17,2,3,0.5
Greece,10,2,2,6,5,20,3,-15,0.2
Cï¿½ï¿½te d'Iv,9,3,1,5,13,14,3,-1,0.3333333333333333
Serbia,9,2,1,6,9,15,3,-6,0.2222222222222222
South Africa,9,2,4,3,11,16,3,-5,0.2222222222222222
Honduras,9,0,3,6,3,14,3,-11,0.0
Norway,8,2,3,3,7,8,3,-1,0.25
Wales,8,1,4,3,5,10,2,-5,0.125
North Korea,7,1,1,5,6,21,2,-15,0.14285714285714285
Egypt,7,0,2,5,5,12,3,-7,0.0
Germany DR,6,2,2,2,5,5,1,0,0.3333333333333333
Slovenia,6,1,1,4,5,10,2,-5,0.16666666666666666
Bolivia,6,0,1,5,1,20,3,-19,0.0
Canada,6,0,0,6,2,12,2,-10,0.0
El Salvador,6,0,0,6,1,22,2,-21,0.0
New Zealand,6,0,3,3,4,14,2,-10,0.0
Ukraine,5,2,1,2,5,7,1,-2,0.4
FR Yugoslavia,4,2,1,1,5,4,1,1,0.5
Slovakia,4,1,1,2,5,7,1,-2,0.25
Bosnia and Herzegovina,3,1,0,2,4,4,1,0,0.3333333333333333
Cuba,3,1,1,1,5,12,1,-7,0.3333333333333333
Czechia,3,1,0,2,3,4,1,-1,0.3333333333333333
Jamaica,3,1,0,2,3,9,1,-6,0.3333333333333333
Angola,3,0,2,1,1,2,1,-1,0.0
China PR,3,0,0,3,0,9,1,-9,0.0
DR Congo,3,0,0,3,0,14,1,-14,0.0
Haiti,3,0,0,3,2,14,1,-12,0.0
Iceland,3,0,1,2,2,5,1,-3,0.0
Iraq,3,0,0,3,1,4,1,-3,0.0
Israel,3,0,2,1,1,3,1,-2,0.0
Kuwait,3,0,1,2,2,6,1,-4,0.0
Panama,3,0,0,3,2,11,1,-9,0.0
Qatar,3,0,0,3,1,7,1,-6,0.0
Serbia and Montenegro,3,0,0,3,2,10,1,-8,0.0
Togo,3,0,0,3,1,6,1,-5,0.0
Trinidad and Tobago,3,0,1,2,0,4,1,-4,0.0
United Arab Emirates,3,0,0,3,2,11,1,-9,0.0
Dutch East Indies,1,0,0,1,0,6,1,-6,0.0
