Vòng,Mã trận,Đội A,Đội B,BT A,BT B,Đội thắng,Kết quả 90 phút,Cách quyết định
Vòng 1/16,73,Czechia,Canada,0,2,Canada,Đội A thua,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,74,Germany,South Korea,3,1,Germany,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,75,Netherlands,Morocco,2,0,Netherlands,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,76,Brazil,Japan,2,0,Brazil,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,77,France,Scotland,3,1,France,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,78,Ecuador,Norway,1,1,Ecuador,Hòa,"Hòa sau 90 phút, chọn đội đi tiếp bằng bidirectional strength score"
Vòng 1/16,79,Mexico,Senegal,2,1,Mexico,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,80,England,Democratic Republic of the Congo,3,1,England,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,81,Portugal,Croatia,2,0,Portugal,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,82,United States,Sweden,2,1,United States,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,83,Belgium,Panama,3,1,Belgium,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,84,Spain,Austria,3,1,Spain,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,85,Switzerland,Australia,2,0,Switzerland,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,86,Argentina,Uruguay,3,1,Argentina,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,87,Colombia,Bosnia and Herzegovina,3,1,Colombia,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/16,88,Turkey,Iran,2,0,Turkey,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/8,89,Germany,France,1,3,France,Đội A thua,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/8,90,Canada,Netherlands,1,3,Netherlands,Đội A thua,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/8,91,Brazil,Ecuador,2,1,Brazil,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/8,92,Mexico,England,1,3,England,Đội A thua,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/8,93,Belgium,Spain,1,3,Spain,Đội A thua,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/8,94,Portugal,United States,3,1,Portugal,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/8,95,Argentina,Turkey,3,1,Argentina,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Vòng 1/8,96,Switzerland,Colombia,0,2,Colombia,Đội A thua,Chọn đội đi tiếp bằng bidirectional strength score
Tứ kết,97,France,Netherlands,2,0,France,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Tứ kết,98,Spain,Portugal,3,1,Spain,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Tứ kết,99,Brazil,England,1,2,England,Đội A thua,Chọn đội đi tiếp bằng bidirectional strength score
Tứ kết,100,Argentina,Colombia,2,0,Argentina,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Bán kết,101,France,Spain,1,2,Spain,Đội A thua,Chọn đội đi tiếp bằng bidirectional strength score
Bán kết,102,England,Argentina,0,2,Argentina,Đội A thua,Chọn đội đi tiếp bằng bidirectional strength score
Tranh hạng ba,103,France,England,2,0,France,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
Chung kết,104,Spain,Argentina,2,1,Spain,Đội A thắng,Chọn đội đi tiếp bằng bidirectional strength score
