ma_vao_vong,loai_ve,bang,hang,doi,so_tran,thang,hoa,thua,ban_thang,ban_thua,hieu_so,diem
A1,Top 2 bảng,A,1,Mexico,3,2,1,0,6,3,3,7
A2,Top 2 bảng,A,2,Czechia,3,1,1,1,5,4,1,4
3A,Hạng 3 tốt nhất,A,3,South Korea,3,1,1,1,4,4,0,4
B1,Top 2 bảng,B,1,Switzerland,3,2,1,0,6,2,4,7
B2,Top 2 bảng,B,2,Canada,3,2,0,1,5,3,2,6
3B,Hạng 3 tốt nhất,B,3,Bosnia and Herzegovina,3,1,0,2,2,5,-3,3
C1,Top 2 bảng,C,1,Brazil,3,2,1,0,5,1,4,7
C2,Top 2 bảng,C,2,Morocco,3,1,1,1,5,5,0,4
3C,Hạng 3 tốt nhất,C,3,Scotland,3,0,3,0,4,4,0,3
D1,Top 2 bảng,D,1,United States,3,2,0,1,5,2,3,6
D2,Top 2 bảng,D,2,Turkey,3,2,0,1,5,3,2,6
3D,Hạng 3 tốt nhất,D,3,Australia,3,1,0,2,3,5,-2,3
E1,Top 2 bảng,E,1,Germany,3,2,1,0,5,1,4,7
E2,Top 2 bảng,E,2,Ecuador,3,1,2,0,5,3,2,5
F1,Top 2 bảng,F,1,Netherlands,3,2,1,0,6,3,3,7
F2,Top 2 bảng,F,2,Japan,3,1,1,1,4,3,1,4
3F,Hạng 3 tốt nhất,F,3,Sweden,3,1,0,2,2,4,-2,3
G1,Top 2 bảng,G,1,Belgium,3,2,1,0,6,2,4,7
G2,Top 2 bảng,G,2,Iran,3,1,1,1,3,3,0,4
H1,Top 2 bảng,H,1,Spain,3,2,1,0,8,4,4,7
H2,Top 2 bảng,H,2,Uruguay,3,1,2,0,6,4,2,5
I1,Top 2 bảng,I,1,France,3,2,0,1,6,3,3,6
I2,Top 2 bảng,I,2,Norway,3,1,2,0,6,5,1,5
3I,Hạng 3 tốt nhất,I,3,Senegal,3,1,1,1,4,4,0,4
J1,Top 2 bảng,J,1,Argentina,3,2,1,0,5,1,4,7
J2,Top 2 bảng,J,2,Austria,3,1,1,1,3,3,0,4
K1,Top 2 bảng,K,1,Colombia,3,2,1,0,6,3,3,7
K2,Top 2 bảng,K,2,Portugal,3,2,0,1,6,3,3,6
3K,Hạng 3 tốt nhất,K,3,Democratic Republic of the Congo,3,1,0,2,2,5,-3,3
L1,Top 2 bảng,L,1,England,3,2,1,0,5,2,3,7
L2,Top 2 bảng,L,2,Croatia,3,1,1,1,6,5,1,4
3L,Hạng 3 tốt nhất,L,3,Panama,3,0,3,0,4,4,0,3
